RA,DEC,z,W1mag,W2mag,W1_W2,M_W1,L_W1,Mstar,log_mass,galaxy_type
344.5523,26.8726,0.403,14.3760004,14.19999981,0.176000595,-27.39329195,1.79191E+12,4.32788E+11,11.63627521,Giant Elliptical / BCG
165.6497,51.6173,0.4039,14.43900013,14.29199982,0.147000313,-27.33600232,1.69981E+12,4.8643E+11,11.68702035,Giant Elliptical / BCG
232.5189,35.2861,0.2311,14.26099968,14.02299976,0.237999916,-26.1156977,5.52432E+11,92845164902,10.96775929,Elliptical
142.8335,5.1451,0.3585,14.96100044,14.63599968,0.325000763,-26.51015189,7.94439E+11,80271026881,10.90455882,Elliptical
197.1946,4.0758,0.3598,14.1420002,13.90799999,0.234000206,-27.33833461,1.70347E+12,2.93071E+11,11.46697285,Elliptical
6.157,-2.6256,0.2169,13.87899971,13.61499977,0.263999939,-26.34275739,6.80931E+11,98297644367,10.99254311,Elliptical
216.4605,10.629,0.1591,12.91300011,12.69200039,0.220999718,-26.56210029,8.33374E+11,1.54704E+11,11.18950154,Elliptical
184.3798,36.6865,0.3652,14.15799999,13.86699963,0.291000366,-27.360153,1.73805E+12,2.1425E+11,11.33092083,Elliptical
248.6942,42.7743,0.2248,13.97000027,13.71199989,0.258000374,-26.33907164,6.78623E+11,1.01463E+11,11.0063077,Elliptical
345.5588,6.8252,0.3032,14.13899994,13.83899975,0.300000191,-26.91001115,1.14817E+12,1.34278E+11,11.12800486,Elliptical
117.7209,17.6768,0.1861,13.6789999,13.44400024,0.234999657,-26.17164072,5.81643E+11,99484897915,10.99775716,Elliptical
180.3829,23.114,0.2625,14.43299961,14.12300014,0.309999466,-26.25731795,6.29401E+11,69427022187,10.84152854,Elliptical
342.9648,10.5186,0.2367,13.94799995,13.63300037,0.31499958,-26.48739715,7.77963E+11,83341233588,10.92085992,Elliptical
343.6238,6.9738,0.3457,14.30599976,14.0909996,0.215000153,-27.07306505,1.33422E+12,2.56523E+11,11.40912631,Elliptical
202.9921,16.1159,0.2055,13.74699974,13.46700001,0.279999733,-26.34343804,6.81358E+11,89572747040,10.95217589,Elliptical
259.3998,36.4703,0.1649,14.61299992,14.37199974,0.241000175,-24.94751656,1.88368E+11,31107576647,10.49286618,Spiral
214.2452,55.0666,0.2462,13.89700031,13.56700039,0.329999924,-26.63511119,8.91342E+11,87467088306,10.94184467,Elliptical
153.03,16.3239,0.2548,13.85000038,13.41399956,0.436000824,-26.76674372,1.00623E+12,53119673285,10.7252554,Elliptical
262.2246,31.3312,0.1998,13.7329998,13.49600029,0.236999512,-26.28923374,6.48177E+11,1.09576E+11,11.03971544,Elliptical
1.8065,-7.9117,0.2028,13.51299953,13.16699982,0.345999718,-26.54535192,8.20617E+11,73333343597,10.86530149,Elliptical
182.3333,-2.225,0.1803,13.5,13.27200031,0.227999687,-26.2744446,6.39408E+11,1.13935E+11,11.05665716,Elliptical
357.021,22.3243,0.3874,14.53999996,14.27799988,0.262000084,-27.12839834,1.40397E+12,2.05059E+11,11.31187884,Elliptical
196.5658,5.2413,0.3613,15.30000019,15.02299976,0.277000427,-26.19089187,5.92048E+11,79209206190,10.89877566,Elliptical
186.1593,14.9097,0.3581,14.65600014,14.43999958,0.216000557,-26.81232065,1.04937E+12,2.0058E+11,11.30228763,Elliptical
6.8476,22.6238,0.149,13.48799992,13.25599957,0.232000351,-25.83118723,4.25084E+11,73993573596,10.869194,Elliptical
187.8679,38.3395,0.3833,14.62699986,14.4630003,0.163999557,-27.01425901,1.26387E+12,3.2745E+11,11.51514499,Giant Elliptical / BCG
243.2786,7.248,0.3155,14.13899994,13.93299961,0.206000328,-27.00969997,1.25858E+12,2.55058E+11,11.40663895,Elliptical
220.9632,17.7041,0.1877,13.82199955,13.60099983,0.220999718,-26.04927335,5.19648E+11,96465063621,10.98437006,Elliptical
